Age,Ethnicity,Gender,Sexual Orientation,Profession,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q11,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q24,Q25,Q26,Q27,Q28,Q75,Q76,Q77,Q78,Q79,Q81,Q82,Q83,Q84,Q85,Q86,Q52,Q53,Q54,Q55,Q56,Q95,Q96,Q97,Q98,Q99,Q101,Q103,Q104,Q105,Q106,Q100,type_transgression
2,1,3,4,1,3,5,3,5,5,5,4,5,4,5,5,5,5,3,5,5,5,5,2,2,4,2,4,3,1,2,2,2,2,1,3,2,1,"I like Taylor Swift's music. I have followed her music career for a long time. She is not immune to criticism, and I will critique her actions. I also understand that she gets more flack than other celebrities with her presence, which is sometimes unjustified. If she suddenly started doing and saying horrible things, I would find it hard to stop listening to her music, as it has been central to large parts of my life, but I'd like to think I'd be able to give up her music on principle.",,,,,,,,,,,,,,,,,1
2,4,2,1,1,2,4,3,4,2,2,2,2,3,4,4,4,4,1,1,1,4,1,,,,,,,,,,,,,,,,,2,1,2,2,2,4,3,3,3,3,4,6,4,4,4,"i dont care about her that much, shes just a person being given a lot of attention because she is a celebrity. i care about the music. if the music is bad i will not support her",0
2,4,2,1,1,3,4,3,5,4,3,2,3,3,4,4,3,3,1,4,4,3,1,4,2,4,2,3,4,2,3,2,2,3,2,3,2,3,"i feel that her actions may not necessarily be her personal opinions but more of how her management decides to handle the situation. as we do not know for sure and it is also easy to shift the blame, we are not sure if she is actually behind all these unpleasant occurrences. ",,,,,,,,,,,,,,,,,1
2,4,2,1,1,1,1,1,4,1,1,1,2,1,2,4,2,1,1,1,1,4,2,,,,,,,,,,,,,,,,,2,1,2,2,1,2,1,2,1,1,6,4,5,4,4,,0
2,1,2,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,6,6,6,5,6,Taylor Swift's music is everywhere and I just find it a bit annoying. Like there are whole social gatherings themed around Taylor Swift that I might have gone to if they weren't Only playing Taylor Swift music the whole time,0
2,1,2,3,1,5,5,4,5,5,5,4,5,4,3,5,5,5,5,5,5,5,2,5,4,5,2,5,4,4,4,4,4,5,5,5,2,5,I love her and her music too much to stop listening to it and following her activities even when I know she doesnâ€™t always morally behave right. ,,,,,,,,,,,,,,,,,1
2,1,2,2,1,4,4,5,5,5,5,1,4,2,3,5,5,5,4,5,5,5,4,4,2,5,4,5,4,2,5,5,5,2,1,5,4,4,,,,,,,,,,,,,,,,,,1
2,1,2,3,1,4,5,4,5,4,5,3,5,4,3,5,5,5,4,5,5,5,4,,,,,,,,,,,,,,,,,4,2,5,4,4,4,2,5,4,4,8,8,8,7,7,,0
2,1,3,3,1,3,3,2,2,4,1,1,1,1,2,2,1,1,1,1,3,2,1,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,,0
2,4,1,2,1,3,3,4,4,4,2,2,2,2,1,3,2,4,2,1,4,3,1,4,2,4,2,3,4,3,4,2,3,3,3,4,2,2,,,,,,,,,,,,,,,,,,1
2,4,2,1,1,1,3,2,4,4,1,1,2,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,1,1,1,1,1,3,3,3,3,3,6,6,6,6,6,,0
2,5,2,1,1,2,4,3,5,3,1,1,2,2,2,5,3,4,2,5,5,3,1,5,4,5,2,5,5,4,5,2,5,5,4,5,1,5,"I try and separate the art from the artist; I enjoy listening to Taylor Swift's music and for that reason I would like to meet her, but that does not stop me from being able to have opinions and disagree with some of her actions.",,,,,,,,,,,,,,,,,1
2,4,2,1,1,3,2,2,4,3,1,1,4,3,1,2,3,1,1,1,1,1,1,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,6,4,5,4,6,The level of harm caused would make me less inclined to engage with her,0
2,1,1,2,1,3,2,2,3,4,2,1,4,2,3,4,1,1,1,1,1,4,1,4,1,4,1,1,4,1,1,1,1,4,1,1,1,1,,,,,,,,,,,,,,,,,,1
2,4,1,1,1,5,5,5,5,5,5,1,5,4,5,5,5,5,2,5,2,5,4,,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,8,8,8,8,8,"When listening to music, itâ€™s important to be able to be able to seperate the art from the artist. ",0
2,4,2,1,1,3,4,5,5,5,2,1,1,1,4,5,4,4,1,2,2,5,1,5,2,4,4,5,1,1,1,1,1,2,1,4,5,4,,,,,,,,,,,,,,,,,,1
2,5,2,1,1,3,2,2,4,3,4,1,4,4,5,4,1,2,1,2,4,4,1,,,,,,,,,,,,,,,,,4,1,1,1,1,4,1,1,1,1,7,6,6,6,6,,0
2,4,2,4,1,3,2,2,2,1,1,1,2,1,5,2,1,1,1,1,1,1,1,3,2,2,1,1,3,1,1,1,1,3,1,1,1,1,,,,,,,,,,,,,,,,,,1
2,1,2,1,1,4,5,4,5,4,5,1,2,2,3,5,5,5,2,5,5,4,2,,,,,,,,,,,,,,,,,1,1,1,1,1,4,1,1,1,2,8,7,7,4,7,"Whilst I do identify as a fan of Taylor swift, I am first and foremost a fan of her music and songwriting. I am invested in some aspects of her life but mostly due to how they could enrich the experience of listening to the lyrics of a certain song to get a deeper understanding. If she were to act immorally I would no longer support her as a person but would still digest her media, in the same sense that people donâ€™t support JK Rowling for transphobic comments but will still read/watch Harry Potter. ",0
2,1,1,3,1,4,5,4,5,5,5,4,4,2,3,5,5,4,2,5,4,5,4,4,2,5,2,4,1,1,4,2,4,1,1,4,1,4,,,,,,,,,,,,,,,,,,1
2,1,1,1,1,4,5,4,5,4,5,2,4,3,2,5,5,5,2,3,4,5,4,,,,,,,,,,,,,,,,,5,4,5,4,5,5,4,5,4,5,8,7,8,7,8,They wouldn't change my mind on liking Taylor,0
2,1,2,3,1,4,5,5,5,5,3,1,4,3,2,5,5,5,2,5,5,5,5,,,,,,,,,,,,,,,,,4,1,4,1,2,4,1,5,2,4,8,7,8,7,8,"I would still continue to stream her music mainly because it's a way for me to process my emotions considering I see a reflection of myself in her lyrics. However I wouldn't defend her as she would need to be held accountable for her actions. I don't really buy merchandise anyway so that wouldn't change, and I would still very much want to meet her due to her impact on the world and how much she means to me personally",0
2,1,2,3,1,5,5,4,5,2,5,2,4,1,5,5,5,5,4,5,5,5,5,4,2,4,3,4,4,2,4,2,3,4,1,3,2,3,,,,,,,,,,,,,,,,,,1
2,4,2,1,1,2,2,3,4,1,1,1,1,1,3,4,1,2,1,1,4,2,1,,,,,,,,,,,,,,,,,4,3,3,2,3,2,2,2,2,2,7,6,7,6,6,,0
2,1,2,3,1,4,3,4,5,4,4,1,2,2,3,5,5,4,1,5,1,4,5,4,2,5,1,4,4,1,4,1,3,4,1,4,1,1,,,,,,,,,,,,,,,,,,1
3,1,2,3,1,5,4,2,5,4,4,2,4,4,5,5,4,5,4,5,5,5,5,,,,,,,,,,,,,,,,,2,2,2,1,2,4,4,4,4,4,8,8,8,7,8,,0
2,1,1,1,1,4,5,4,5,2,3,1,1,1,4,4,4,4,1,4,3,2,1,5,4,4,1,5,4,2,4,1,4,5,5,5,5,5,"There's very little she could do to stop me from liking her music, as they're completely different things, I may stop buying merch though if for example they are made in really unethical ways or the concerts where she sells the merch are really unsafe. Finally as there is only so many concerts she can do per year per city, it is totally valid to increase the price as long as she still sells out the event",,,,,,,,,,,,,,,,,1
2,1,2,3,1,3,3,4,4,4,2,2,3,4,5,4,2,2,1,1,3,3,4,1,1,1,2,3,3,1,2,1,2,3,1,2,1,2,celebrities should be held accountable for their actions,,,,,,,,,,,,,,,,,1
2,1,3,4,1,4,3,3,4,4,4,4,4,4,5,5,2,2,2,2,3,4,4,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,7,5,5,4,5,"I generally think that the personal lives of celebrities aren't really my business, but they're public statements and actions are",0
2,5,2,3,1,4,5,3,4,4,4,2,3,4,3,5,5,5,4,5,5,4,4,,,,,,,,,,,,,,,,,1,1,1,1,1,2,1,1,1,1,7,5,7,5,6,,0
2,5,2,3,1,5,5,5,5,4,5,5,5,4,3,5,5,5,1,4,2,5,4,,,,,,,,,,,,,,,,,4,4,5,1,5,5,3,5,1,3,8,8,8,7,8,,0
2,1,2,1,1,4,3,5,5,5,4,1,5,4,5,5,4,4,1,3,3,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,1
2,1,2,3,1,5,4,4,5,3,4,4,3,2,5,5,3,5,4,5,5,4,4,5,4,5,4,3,5,2,2,3,3,5,4,4,3,3,"I love listening to Taylor Swifts music and focus on this more than anything to do with her personally. However there are situations, such as if she committed a severe crime I would stop listening to her music",,,,,,,,,,,,,,,,,1
2,1,2,1,1,5,5,5,5,5,5,3,4,4,3,5,4,5,4,5,5,5,5,,,,,,,,,,,,,,,,,4,3,3,3,4,4,4,4,3,4,7,7,7,6,7,,0
2,1,1,2,2,3,4,2,4,1,4,1,4,1,3,4,4,4,1,1,4,4,4,4,1,4,1,3,4,1,4,1,3,4,1,4,1,3,I don't know her ,,,,,,,,,,,,,,,,,1
2,4,2,3,5,5,3,5,5,2,5,1,4,2,5,5,4,4,3,4,4,4,1,4,4,4,2,4,4,4,4,1,4,4,1,4,1,2,,,,,,,,,,,,,,,,,,1
2,4,2,1,1,4,4,4,4,4,3,1,2,3,5,5,4,5,1,4,4,4,3,,,,,,,,,,,,,,,,,5,3,4,1,2,5,1,2,1,1,8,4,7,4,5,I would continue to stream her music because I love her music and lyrics and itâ€™s something that I can relate to at times. I grew up with her music so it would be very difficult to stop listening to her songs considering the amount of albums she has. I wouldnâ€™t want to meet her or buy her merch because I wouldnâ€™t respect her as a person (if the given situations occurred). Similar to separating art from the artist although I know streaming does contribute to her success. I would only continue to follow her for any future music releases. ,0
2,1,2,1,1,5,5,4,5,5,5,3,5,4,5,5,5,5,4,5,4,5,4,,,,,,,,,,,,,,,,,1,1,1,1,1,2,1,3,3,3,8,8,8,7,8,"Transphobic comments come from a place of malice, so I would not support her after that. However, political figures are more grey. It truly depends on what kind of political figure and whether or not I personally deemed them terrible, since the media tends to make controversial many political figures the west generally disagrees with. If she cheats, thatâ€™s her own business.",0
2,1,2,1,1,4,5,5,5,5,4,2,4,2,2,4,5,5,2,5,5,4,2,,,,,,,,,,,,,,,,,4,2,4,1,1,4,2,2,1,1,7,7,7,4,5,"despite controversial actions impacting my view of her as a person, i would still listen to her music as i enjoy it, but my prescription of her would be different ",0
2,1,2,5,1,4,5,4,5,3,5,1,3,2,4,5,5,5,5,5,5,5,4,3,4,3,2,3,3,2,3,2,2,4,4,4,2,2,,,,,,,,,,,,,,,,,,1
2,5,2,5,1,3,4,3,5,4,2,2,3,3,5,4,2,2,1,5,4,3,3,,,,,,,,,,,,,,,,,4,3,4,1,3,4,3,4,2,3,7,7,7,6,6,"her music slaps, and if i want to spiteful iâ€™ll stream the older versions of her albums (stolen version) because woman doesnâ€™t need more money. also she doesnâ€™t get royalties from her older records considering big machine owns them (hence the re-records). ",0
2,1,2,3,1,4,5,4,5,4,4,2,4,3,3,5,5,5,5,5,5,5,5,4,2,4,2,4,2,2,2,2,2,2,2,2,2,2,"Because those instances would cause me to look at her differently, it would are it seem like she doesnâ€™t care about her fans so why should we care for her in the same way we do now. Despite how much I absolutely love her persona and her music I do get that she is a real person who should be held to the same standard as everyone else",,,,,,,,,,,,,,,,,1
2,1,2,1,1,4,4,2,5,4,5,1,3,3,3,5,4,5,3,5,5,5,4,5,2,5,2,4,5,2,4,2,4,5,2,5,2,4,Supporting her music and her personality are two different things to me,,,,,,,,,,,,,,,,,1
2,1,2,1,1,5,5,5,5,4,5,4,5,4,5,5,5,5,3,5,5,5,3,,,,,,,,,,,,,,,,,2,2,3,2,4,3,2,3,2,3,7,7,7,6,8,I feel as if infidelity cannot be compared to making transphobic comments so my answers differ ,0
2,1,2,3,1,4,3,4,5,4,5,4,4,5,4,5,4,4,4,5,5,4,1,4,1,4,2,4,1,1,1,1,5,4,4,4,2,4,,,,,,,,,,,,,,,,,,1
2,1,2,3,1,5,5,4,5,4,5,2,5,4,5,5,5,5,4,5,5,5,5,,,,,,,,,,,,,,,,,2,2,3,1,1,4,3,4,2,2,7,5,5,4,4,,0
2,1,2,3,1,5,4,4,5,4,4,2,3,3,3,5,4,4,2,5,5,4,2,4,3,4,1,4,4,2,2,1,4,4,1,3,1,4,,,,,,,,,,,,,,,,,,1
2,5,2,2,1,4,5,2,5,4,4,1,4,2,5,5,5,5,3,4,4,4,3,,,,,,,,,,,,,,,,,2,1,2,1,1,2,1,2,1,1,8,8,8,6,7,"Regardless of what she does, I enjoy her music and would continue to listen even if stopped liking her and buying merch",0
2,1,2,1,1,3,5,4,5,3,4,2,2,2,4,5,4,4,2,5,5,5,2,,,,,,,,,,,,,,,,,1,1,2,1,1,3,1,2,1,1,8,6,7,5,7,if she cheated on someone it is bad but not as bad as being transphobic or hanging out with someone problematic. The last two arenâ€™t really excusable and make me think inherently she is a bad person and i wouldnâ€™t want to support her (as much as i like her music i would feel ashamed to support her) ,0
2,1,2,1,1,4,5,4,5,5,5,3,4,4,4,5,4,5,2,4,4,4,1,,,,,,,,,,,,,,,,,4,1,1,1,1,3,1,1,1,1,8,7,7,5,7,"Taylor Swift has been in my life for a long time, and helped me navigate through a lot of my experience, but i would still go against her if her beliefs were harmful for groups of people",0
2,1,2,1,2,5,5,5,5,5,5,5,5,5,5,5,3,5,5,3,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,1
2,1,2,1,1,4,5,4,5,3,4,2,4,3,5,5,5,5,1,5,5,5,5,4,4,5,3,4,3,4,5,2,3,5,3,4,1,3,I see her music and her as a person as two separate entities ,,,,,,,,,,,,,,,,,1
2,4,2,3,2,4,5,4,5,4,5,1,5,4,3,5,5,5,4,5,5,5,5,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,6,6,6,6,6,,0
2,1,2,1,1,5,5,5,5,4,5,5,5,4,5,5,5,5,4,5,5,5,5,,,,,,,,,,,,,,,,,4,4,4,3,4,4,4,4,4,4,8,8,8,8,8,"I believe in separating the art from the artist to a large extent, so I would continue to listen to her music and follow her work although Iâ€™d find it more difficult to defend her personality",0
2,4,2,1,1,5,5,5,5,2,5,3,2,4,3,5,5,5,1,1,2,5,5,5,3,5,4,4,4,3,5,4,4,4,2,5,3,4,,,,,,,,,,,,,,,,,,1
2,1,2,1,1,4,4,4,5,5,5,2,4,4,4,5,5,4,2,5,5,4,4,,,,,,,,,,,,,,,,,2,2,2,1,2,2,1,2,1,1,7,7,7,4,4,,0
2,1,2,1,1,4,5,4,5,4,3,1,4,3,5,5,5,4,2,5,5,4,4,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,8,8,8,8,6,,0
2,1,2,1,1,5,4,5,5,5,5,3,4,4,5,5,5,4,2,5,2,5,5,4,2,4,3,5,3,2,4,3,3,5,4,5,3,5,Taylor has time and time again proven her loyalty to her fans and how she is morally driven. She treats people with the utmost respect and just loves to write music to reach all different kinds of people. ,,,,,,,,,,,,,,,,,1
2,4,1,2,1,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,4,5,4,4,4,4,2,4,4,2,4,1,4,4,1,4,1,4,,,,,,,,,,,,,,,,,,1
2,4,2,1,1,4,5,5,5,4,5,4,2,4,5,5,5,4,4,5,4,4,4,5,5,5,3,5,5,5,5,3,5,5,5,5,3,5,,,,,,,,,,,,,,,,,,1
2,1,2,3,1,5,5,4,4,4,5,1,4,2,3,5,5,5,2,5,5,5,5,,,,,,,,,,,,,,,,,4,1,2,1,1,4,1,1,1,1,8,7,7,7,5,Itâ€™s hard to disengage with someone you idolise however I believe If someone went against my direct beluga I would find it hard to continue to support them however I do think itâ€™s important to do your own research about celebrities like Taylor especially when scandals happen as thatâ€™s when misinformation is increasingly prominent and it too easy to jump on bandwagon hate ,0
2,1,2,1,2,5,4,3,5,4,5,4,5,4,5,5,5,5,3,5,5,5,4,4,3,5,4,4,3,2,2,2,2,4,2,4,3,4,,,,,,,,,,,,,,,,,,1
2,1,2,1,1,5,3,5,5,4,5,2,3,3,5,5,5,5,4,5,5,5,4,5,5,5,4,5,5,5,5,3,5,5,5,5,3,5,,,,,,,,,,,,,,,,,,1
2,1,1,3,1,5,5,4,5,5,5,5,5,4,3,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,5,5,5,1,5,4,4,4,1,4,8,8,8,7,8,,0
2,1,2,3,1,5,5,4,5,4,4,2,4,3,3,5,5,5,2,5,4,4,5,,,,,,,,,,,,,,,,,2,1,3,1,1,2,1,2,1,1,7,7,8,6,6,,0
2,4,2,3,1,3,2,1,4,2,2,1,1,3,2,3,1,2,1,1,4,2,1,1,1,3,1,3,3,2,3,3,3,3,2,3,1,3,,,,,,,,,,,,,,,,,,1
2,4,2,1,1,4,4,4,5,4,4,2,4,2,3,5,5,5,5,2,5,5,5,2,4,5,2,2,1,2,2,1,1,4,4,4,3,4,,,,,,,,,,,,,,,,,,1
2,4,2,5,1,5,3,2,5,3,5,1,4,1,3,5,4,2,1,5,3,5,5,5,1,3,2,3,5,1,3,2,3,5,1,3,2,3,"Her music makes me happy and inspires me, so of course I want to support her and meet her. But as a climate activist I am fully aware of her actions and will never buy her merch/physical albums because of that. Streaming makes no difference given how little money every stream makes and she has millions of hyper-dedicated fans.",,,,,,,,,,,,,,,,,1
2,5,4,4,1,5,4,5,5,5,4,4,4,3,5,5,5,5,1,3,4,5,5,,,,,,,,,,,,,,,,,4,1,5,2,3,4,1,5,2,3,7,4,7,4,5,"Some people can separate from the artist, some people think this should not be the case. I personally find that her music means so much to me I donâ€™t think I would stop listening to her music. The change that would occur, for me anyway, is that I would be less invested in her and her life. I would only be associated her by her music alone. She produces quality on a historical level, evidenced by many groundbreaking awards. And it doesnâ€™t mean she should be given a free card to do whatever she likes. I just feel that her music exists and should be respected in its own right. Discussing cancel culture, I think it is a reflection on society that back in 2016 the internet â€˜cancelledâ€™ Taylor Swift when it was Kanye West who called her a b***h. That was inappropriate, alongside the extremely derogatory music video. People were okay with that but not okay with a woman saying she had been manipulated. Hatred of her is rooted in misogyny. When people criticise her, for example her carbon emissions, I always acknowledge this. But she canâ€™t take a commercial flight, as evidenced by the recent stalker news. I acknowledge she has faults in that regard but I dislike it when people judge her based on the sole negative comments circulating in the media rather than her very many credible achievements. People who donâ€™t even care about the environment will use that as an excuse to hate on her.",0
2,1,2,3,1,5,4,5,5,4,5,5,4,5,5,5,4,5,4,5,5,5,5,5,4,5,4,5,3,3,3,3,4,2,1,3,1,3,"I support her, however, If she makes choices that affect her  fans super negatively, my excitement dips.  About private jet.. well, nobody realistically is going against big companies contributing to pollution.",,,,,,,,,,,,,,,,,1
2,4,1,1,1,5,5,3,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,5,5,5,5,5,4,4,4,4,4,7,7,7,5,6,Iâ€™m a Christian and you should be as well. Contact me for a bible studyðŸ‘€,0
2,1,2,1,1,5,5,4,5,4,5,2,5,4,5,5,5,5,2,5,5,5,4,,,,,,,,,,,,,,,,,4,1,4,2,3,5,1,4,1,3,8,7,8,6,8,A transphobic comment or hanging out with politicians I do not support would have more of an impact for me than finding out she cheated. What she does in her romantic relationships is not my business,0
2,1,2,2,1,3,4,4,4,4,2,1,4,4,3,4,2,4,1,4,1,4,2,,,,,,,,,,,,,,,,,1,1,1,1,1,2,1,2,1,1,7,6,6,6,6,I care more about the politics of the artists I listen to than whether they have cheated on someone or not,0
2,4,2,3,1,5,4,5,5,4,5,2,4,4,3,5,5,5,1,5,4,5,4,4,1,5,1,3,2,1,3,1,1,1,1,3,1,1,"I love her music and deeply respect her as a role model but if her actions no longer align with my values I wouldnâ€™t be able to support her for my own conscience, although I might still listen to her music.",,,,,,,,,,,,,,,,,1
2,1,2,3,1,3,4,4,5,3,4,1,4,3,3,5,5,5,3,5,5,5,4,,,,,,,,,,,,,,,,,3,1,3,1,1,4,1,4,2,1,8,8,8,7,7,"For the cheating, its pretty much public knowledge that she has cheated before, so that wouldnt really be a change",0
2,1,2,1,1,4,5,5,5,5,5,4,4,4,5,5,5,5,4,5,5,5,5,5,4,5,3,5,3,2,4,3,4,5,2,5,3,4,Iâ€™m a student ,,,,,,,,,,,,,,,,,1
2,5,2,1,1,2,4,2,5,4,2,1,4,4,5,5,4,4,4,5,4,4,4,1,1,4,1,4,1,1,1,1,4,1,1,1,1,4,She makes good music but she aint a saint,,,,,,,,,,,,,,,,,1
2,4,1,3,2,5,5,5,4,5,5,4,4,3,5,5,5,5,4,5,5,5,5,,,,,,,,,,,,,,,,,2,2,2,3,4,3,2,3,2,4,5,5,5,6,7,,0
3,5,1,2,1,5,5,5,5,5,5,1,5,4,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,2,2,3,2,3,2,2,3,2,3,7,7,8,7,8,,0
2,4,2,5,1,2,1,2,3,4,1,2,3,1,5,3,1,2,1,1,4,2,2,,,,,,,,,,,,,,,,,2,5,1,2,1,2,1,1,1,1,5,4,5,4,8,last answer shouldâ€™ve been strongly disagree not strongly agree- entered it wrong and canâ€™t go back,0
2,1,2,1,1,3,3,1,5,3,2,1,3,1,4,5,2,3,1,4,2,4,3,4,1,5,1,4,2,5,3,1,2,5,1,5,1,3,I see her as a normal human being with flaws too. Additionally I donâ€™t see her as her music. I love her music but throughout the last couple of years I have realised that as I donâ€™t know her as a person and never will I wonâ€™t defend her personality etc. Oh but I would love to meet her to hear her sing live ,,,,,,,,,,,,,,,,,1
2,1,2,3,1,3,5,4,4,2,4,2,2,3,2,5,4,5,3,5,3,5,5,4,4,4,3,4,5,4,5,4,4,3,3,5,4,4,,,,,,,,,,,,,,,,,,1
2,5,2,1,1,3,2,3,4,3,2,1,3,4,5,4,2,4,1,1,1,4,1,3,1,3,2,3,2,1,2,1,2,2,1,1,1,4,opinions differ depending on if the scenario is worse then the other,,,,,,,,,,,,,,,,,1
2,1,2,1,1,5,5,5,5,5,5,3,5,3,5,5,5,4,5,5,5,5,5,,,,,,,,,,,,,,,,,2,1,2,1,1,1,1,2,1,1,7,7,7,7,6,"Although I am a Taylor Swift fan, my support for her comes from not only the fact I like her music, but the fact she is a genuine person who cares about her fans and also has a progressive view on society and politics. If this changed, this would no longer reflect my beliefs and I would not be able to support her as a fan. ",0
